Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : ENAPU PERU
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°43'38'',Longitud :,73°14'13'',Altitud :,126 msnm.
Tipo :,EHMA - Hidrológica,Código :,47252718
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2022/04/23,08:00,S/D,0.0
2022/04/23,12:00,S/D,0.0
2022/04/23,14:00,S/D,0.0
2022/04/23,15:00,S/D,0.6
2022/04/23,16:00,S/D,0.0
2022/04/23,17:00,S/D,0.0
2022/04/23,18:00,S/D,0.0
2022/04/23,19:00,S/D,0.0
2022/04/24,08:00,S/D,0.0
2022/04/24,09:00,S/D,0.0
2022/04/24,12:00,S/D,0.0
2022/04/24,13:00,S/D,0.0
2022/04/24,14:00,S/D,0.0
2022/04/24,15:00,S/D,1.8
2022/04/24,16:00,S/D,0.0
2022/04/24,17:00,S/D,0.0
2022/04/24,18:00,S/D,0.0
2022/04/24,19:00,S/D,0.0
2022/04/24,20:00,S/D,0.0
2022/04/24,21:00,S/D,0.0
2022/04/24,22:00,S/D,0.0
2022/04/25,09:00,S/D,0.0
2022/04/25,12:00,S/D,0.0
2022/04/25,15:00,S/D,0.0
2022/04/25,16:00,S/D,0.0
2022/04/25,17:00,S/D,0.0
2022/04/25,18:00,S/D,0.6
2022/04/26,08:00,S/D,0.0
2022/04/26,10:00,S/D,0.0
2022/04/26,14:00,S/D,0.0
2022/04/26,15:00,S/D,0.0
2022/04/26,16:00,S/D,0.0
2022/04/26,17:00,S/D,0.0
2022/04/26,18:00,S/D,0.0
2022/04/27,08:00,S/D,0.0
2022/04/27,09:00,S/D,0.0
2022/04/27,11:00,S/D,0.0
2022/04/27,14:00,S/D,0.0
2022/04/27,15:00,S/D,0.3
2022/04/27,16:00,S/D,0.0
2022/04/27,17:00,S/D,0.0
2022/04/27,18:00,S/D,0.0
2022/04/27,19:00,S/D,S/D
2022/04/28,08:00,S/D,0.0
2022/04/28,09:00,S/D,0.0
2022/04/28,11:00,S/D,0.0
2022/04/28,14:00,S/D,0.0
2022/04/28,15:00,S/D,0.0
2022/04/28,16:00,S/D,0.0
2022/04/28,17:00,S/D,0.0
2022/04/28,18:00,S/D,0.0
2022/04/28,19:00,S/D,0.0
2022/04/28,20:00,S/D,0.0
2022/04/29,14:00,S/D,0.0
2022/04/29,15:00,S/D,0.0
2022/04/29,16:00,S/D,0.0
2022/04/29,17:00,S/D,0.0
2022/04/29,18:00,S/D,0.0
2022/04/29,19:00,S/D,0.0
2022/04/29,20:00,S/D,0.0
2022/04/30,09:00,S/D,0.0
2022/04/30,14:00,S/D,0.0
2022/04/30,15:00,S/D,0.0
2022/04/30,16:00,S/D,0.0
2022/04/30,17:00,S/D,0.0
2022/04/30,18:00,S/D,0.0
2022/04/30,19:00,S/D,0.0
